dataset,pred_len,variant,C,K,shared_adaptive_jaccard,batch_size,new_trainable_params,checkpoint_fidelity_abs_diff,base_val_full_mse,base_test_full_mse,base_test_full_mae,base_test_endpoint_mse,base_test_endpoint_mae,best_val_full_mse,best_epoch,test_full_mse,test_full_mae,test_endpoint_mse,test_endpoint_mae,full_mse_gain_vs_base_%,endpoint_mse_gain_vs_base_%,val_improves_base,elapsed_sec
ETTm1,96,SharedSparse,7,3,0.5571428571428572,32,1627232,0.0,0.4049657553151782,0.3441988740161619,0.3742306300651484,0.3459821349833301,0.3742512911027131,0.4033045225430618,1,0.3474899067003751,0.3749286944321869,0.3500163266423271,0.3786171076304467,-0.9561427804260446,-1.1660115512008622,1,33.52556037902832
ETTm1,96,HorizonAdaptiveSparse,7,3,0.5571428571428572,32,1627232,0.0,0.4049657553151782,0.3441988740161619,0.3742306300651484,0.3459821349833301,0.3742512911027131,0.4048735436780062,1,0.3472892959517614,0.3740457645689334,0.3472972076523859,0.377601157451056,-0.8978593972548514,-0.3800984317063496,1,33.41890239715576
ETTm1,192,DenseFineTune,7,3,0.6714285714285715,32,1676480,0.0,0.5193130083757025,0.3775201856234919,0.390988718195689,0.3911511708072246,0.3970475380831633,0.519312327079548,0,0.3775205477093888,0.3909887479552951,0.3911567952254605,0.3970501278423324,-9.591166531511571e-05,-0.001437914201898,1,24.69994807243347
ETTm1,192,SharedSparse,7,3,0.6714285714285715,32,1676480,0.0,0.5193130083757025,0.3775201856234919,0.390988718195689,0.3911511708072246,0.3970475380831633,0.5167311837232856,2,0.3836867244257982,0.3937291239361695,0.3903886809567988,0.4009786625040008,-1.6334328698535856,0.1949348250325459,1,41.23621153831482
ETTm1,192,HorizonAdaptiveSparse,7,3,0.6714285714285715,32,1676480,0.0,0.5193130083757025,0.3775201856234919,0.390988718195689,0.3911511708072246,0.3970475380831633,0.5171939837976129,2,0.3844302051371773,0.3945877951756813,0.3890554985479889,0.4011831420421834,-1.8303708720298504,0.5357704170770627,1,41.07839250564575
ETTm1,336,DenseFineTune,7,3,0.7857142857142857,32,1750352,0.0,0.6655166771539653,0.427900757111751,0.4203711867321945,0.5228119851559452,0.4657072779943343,0.6655159076231073,0,0.4279013144555186,0.4203714842247317,0.5228130547279706,0.4657069964292855,-0.0001302507084455,-0.0002045806247293,1,24.48820662498474
ETTm1,336,SharedSparse,7,3,0.7857142857142857,32,1750352,0.0,0.6655166771539653,0.427900757111751,0.4203711867321945,0.5228119851559452,0.4657072779943343,0.66878994258642,3,0.4703530030298415,0.4341329214058779,0.5922322334948761,0.4920948781564597,-9.921049498634954,-13.278243481396876,0,48.77209901809693
ETTm1,336,HorizonAdaptiveSparse,7,3,0.7857142857142857,32,1750352,0.0,0.6655166771539653,0.427900757111751,0.4203711867321945,0.5228119851559452,0.4657072779943343,0.6673898275551804,1,0.4546710644096778,0.4305137647710724,0.5719212718710025,0.4857349008167602,-6.25619535675079,-9.393297802920284,0,33.25590634346008
ETTm1,720,DenseFineTune,7,3,0.8571428571428571,32,1947344,0.0,0.9734175931512464,0.5038740862307975,0.463795867795737,0.6241051624204301,0.5263959320135766,0.973417692750251,0,0.5038750145537969,0.4637958849457098,0.6241050271777142,0.5263959607725202,-0.0001842370990548,2.1669860154759263e-05,0,23.367231369018555
ETTm1,720,SharedSparse,7,3,0.8571428571428571,32,1947344,0.0,0.9734175931512464,0.5038740862307975,0.463795867795737,0.6241051624204301,0.5263959320135766,0.9731188930812894,3,0.5163399578568769,0.4644335233705304,0.633886460048167,0.5217471622176071,-2.4740053054384363,-1.567251517324837,1,46.0863311290741
ETTm1,720,HorizonAdaptiveSparse,7,3,0.8571428571428571,32,1947344,0.0,0.9734175931512464,0.5038740862307975,0.463795867795737,0.6241051624204301,0.5263959320135766,0.9705460855343736,3,0.5157782879629155,0.4651431834286223,0.6402778844081479,0.5250460111713476,-2.362535017660196,-2.591345651587961,1,45.86000657081604
